service_type,min_day_of_week_AVAILABLE,min_day_of_week_OTW_DROPOFF,min_day_of_week_OTW_PICKUP,min_day_of_week_UNAVAILABLE,days_diff_AVAILABLE,days_diff_OTW_DROPOFF,days_diff_OTW_PICKUP,days_diff_UNAVAILABLE,max_distance_AVAILABLE,max_distance_OTW_DROPOFF,max_distance_OTW_PICKUP,max_distance_UNAVAILABLE,total_distance_AVAILABLE,total_distance_OTW_DROPOFF,total_distance_OTW_PICKUP,total_distance_UNAVAILABLE,max_time_diff_AVAILABLE,max_time_diff_OTW_DROPOFF,max_time_diff_OTW_PICKUP,max_time_diff_UNAVAILABLE,total_time_diff_AVAILABLE,total_time_diff_OTW_DROPOFF,total_time_diff_OTW_PICKUP,total_time_diff_UNAVAILABLE,avg_velocity_AVAILABLE,avg_velocity_OTW_DROPOFF,avg_velocity_OTW_PICKUP,avg_velocity_UNAVAILABLE,is_weekend_AVAILABLE,is_weekend_OTW_DROPOFF,is_weekend_OTW_PICKUP,is_weekend_UNAVAILABLE,is_business_hour_AVAILABLE,is_business_hour_OTW_DROPOFF,is_business_hour_OTW_PICKUP,is_business_hour_UNAVAILABLE,min_date_cos_AVAILABLE,min_date_cos_OTW_DROPOFF,min_date_cos_OTW_PICKUP,min_date_cos_UNAVAILABLE,min_date_sin_AVAILABLE,min_date_sin_OTW_DROPOFF,min_date_sin_OTW_PICKUP,min_date_sin_UNAVAILABLE,start_hour_cos_AVAILABLE,start_hour_cos_OTW_DROPOFF,start_hour_cos_OTW_PICKUP,start_hour_cos_UNAVAILABLE,start_hour_sin_AVAILABLE,start_hour_sin_OTW_DROPOFF,start_hour_sin_OTW_PICKUP,start_hour_sin_UNAVAILABLE,end_hour_cos_AVAILABLE,end_hour_cos_OTW_DROPOFF,end_hour_cos_OTW_PICKUP,end_hour_cos_UNAVAILABLE,end_hour_sin_AVAILABLE,end_hour_sin_OTW_DROPOFF,end_hour_sin_OTW_PICKUP,end_hour_sin_UNAVAILABLE,min_acc_AVAILABLE,min_acc_OTW_DROPOFF,min_acc_OTW_PICKUP,min_acc_UNAVAILABLE,max_acc_AVAILABLE,max_acc_OTW_DROPOFF,max_acc_OTW_PICKUP,max_acc_UNAVAILABLE,mean_acc_AVAILABLE,mean_acc_OTW_DROPOFF,mean_acc_OTW_PICKUP,mean_acc_UNAVAILABLE,median_acc_AVAILABLE,median_acc_OTW_DROPOFF,median_acc_OTW_PICKUP,median_acc_UNAVAILABLE,service_type_is_na,label_is_na,min_day_of_week_AVAILABLE_is_na,min_day_of_week_OTW_DROPOFF_is_na,min_day_of_week_OTW_PICKUP_is_na,min_day_of_week_UNAVAILABLE_is_na,days_diff_AVAILABLE_is_na,days_diff_OTW_DROPOFF_is_na,days_diff_OTW_PICKUP_is_na,days_diff_UNAVAILABLE_is_na,max_distance_AVAILABLE_is_na,max_distance_OTW_DROPOFF_is_na,max_distance_OTW_PICKUP_is_na,max_distance_UNAVAILABLE_is_na,avg_velocity_AVAILABLE_is_na,avg_velocity_UNAVAILABLE_is_na,service_type_GO_RIDE,days_diff_AVAILABLE_1.0,days_diff_AVAILABLE_1,days_diff_OTW_DROPOFF_1.0,days_diff_OTW_DROPOFF_1,days_diff_OTW_PICKUP_1.0,days_diff_OTW_PICKUP_1,days_diff_UNAVAILABLE_1.0,days_diff_UNAVAILABLE_1
0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0.7045628013798054,0.08711248465267447,0.6254673303172443,0.0,2.6445774433571043,0.9190089710966032,2.2134116494741587,0.0,651.0,10.0,1106.0,0.0,1513.0,580.0,1608.0,0.0,6.292451286242945,5.704193613703055,4.955399215240654,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.22252093395631434,-0.22252093395631434,-0.22252093395631434,0.0,0.9749279121818236,0.9749279121818236,0.9749279121818236,0.0,-0.7071067811865479,-0.7071067811865479,-0.7071067811865479,0.0,-0.7071067811865471,-0.7071067811865471,-0.7071067811865471,0.0,-0.5000000000000004,-0.5000000000000004,-0.5000000000000004,0.0,-0.8660254037844384,-0.8660254037844384,-0.8660254037844384,0.0,3.0,3.0,3.0,0.0,7.06,6.202,4.445,0.0,4.139026315789473,3.53164406779661,3.5229310344827582,0.0,3.637,3.273,3.522,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,False,False,True
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4974794195237144,0.5771910852263132,0.1900423710929418,0.0,2.54676580150683,1.017937564772063,1.3058404090762408,0.0,551.0,568.0,383.0,0.0,1266.0,818.0,1093.0,0.0,7.241988061156862,4.479920822957735,4.301029709674718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8369701987210297e-16,-1.8369701987210297e-16,-1.8369701987210297e-16,0.0,-1.0,-1.0,-1.0,0.0,-1.8369701987210297e-16,-1.8369701987210297e-16,-1.8369701987210297e-16,0.0,-1.0,-1.0,-1.0,0.0,3.0,3.0,3.0,0.0,7.471,10.0,10.0,0.0,3.9544324324324323,5.334555555555555,4.845342465753425,0.0,3.9,5.868,3.844,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,False,False,True
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.457381699596378,0.17087411301401695,0.22470706307772326,0.0,5.121635560809228,2.3110377628141636,1.4583200367866902,0.0,957.0,11.0,10.0,0.0,1650.0,510.0,420.0,0.0,11.174477587220133,16.313207737511746,12.499886029600203,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.8660254037844388,-0.8660254037844388,-0.8660254037844388,-0.8660254037844388,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.7071067811865479,-0.8660254037844388,-0.8660254037844388,-0.8660254037844388,-0.7071067811865471,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,3.0,3.178,3.0,3.571,69.3,899.999,1200.0,3.571,5.662855072463769,75.06469230769231,128.11197674418605,3.571,4.288,4.759,5.134,3.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3507500157661068,0.2469377640200992,0.09686362950685395,0.0,7.049598622793512,3.1202067366904593,0.541981904794645,0.0,1443.0,56.0,31.0,0.0,2411.0,1040.0,376.0,0.0,10.526153065971235,10.800715627005436,5.189188450161495,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5000000000000004,-0.25881904510252063,-0.5000000000000004,-0.25881904510252063,-0.8660254037844384,-0.9659258262890683,-0.8660254037844384,-0.9659258262890683,-0.25881904510252063,-0.25881904510252063,-0.25881904510252063,-0.25881904510252063,-0.9659258262890683,-0.9659258262890683,-0.9659258262890683,-0.9659258262890683,3.0,3.0,3.0,56.635,67.343,1100.0,27.408,56.635,15.119081395348838,89.33169879518073,7.213270270270271,56.635,5.4735,4.95,4.383,56.635,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,False,False,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.418829847812848,1.1106278181978266,0.13908323329610192,0.0,7.90318019925302,6.023171058518325,0.44897262296401036,0.0,1707.0,823.0,10.0,0.0,2720.0,2154.0,370.0,0.0,10.46009144018782,10.066581156298037,4.368382277487669,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.2246467991473532e-16,1.2246467991473532e-16,1.2246467991473532e-16,0.0,-1.0,-1.0,-1.0,0.0,1.2246467991473532e-16,1.2246467991473532e-16,1.2246467991473532e-16,0.0,3.0,3.0,3.0,0.0,8.047,6.512,9.04,0.0,3.5972135922330093,3.6884370370370374,4.612526315789474,0.0,3.324,3.435,3.8495,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,False,False,True
0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.002908806637549754,0.0,0.12034818242027814,0.0,0.010230488975343236,0.0,0.9619060255389345,0.0,206.0,0.0,21.0,0.0,256.0,0.0,781.0,0.0,0.14386625121576427,0.0,4.433881807861926,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6234898018587336,0.0,0.6234898018587336,0.6234898018587336,0.7818314824680298,0.0,0.7818314824680298,0.7818314824680298,-0.9659258262890683,0.0,-0.9659258262890683,-0.9659258262890683,-0.2588190451025208,0.0,-0.2588190451025208,-0.2588190451025208,-0.9659258262890683,0.0,-0.9659258262890683,-0.9659258262890683,-0.2588190451025208,0.0,-0.2588190451025208,-0.2588190451025208,3.0,0.0,3.0,3.0,3.0,0.0,18.449,3.0,3.0,0.0,5.071141025641025,3.0,3.0,0.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,True,False,False,False,True,False,False,False,False
0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1,2.7597328518154405,0.41107142871558383,0.19540434452587294,0.0,7.8993056698303015,4.513468074530889,0.8703455750737433,0.0,876.0,25.0,33.0,0.0,2056.0,577.0,265.0,0.0,13.8314690716873,28.160286080262047,11.823562529303684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22252093395631434,-0.22252093395631434,-0.22252093395631434,0.0,0.9749279121818236,0.9749279121818236,0.9749279121818236,0.0,0.8660254037844387,0.7071067811865476,0.7071067811865476,0.0,0.49999999999999994,0.7071067811865475,0.7071067811865475,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.0,4.8,4.6,5.0,0.0,1100.0,1000.0,36.163,0.0,45.142293577981654,81.88205263157894,21.27952380952381,0.0,26.264,29.4315,28.578,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,False,False,True
0,0.0,1.0,1.0,0.0,1,0.0,0.0,1,0.0,0.10141523147620012,0.11684770908817782,0.0,0.0,1.942093969925664,0.8624456211231971,0.0,0.0,11.0,14.0,0.0,0.0,460.0,210.0,0.0,0.0,15.198996286374763,14.784782076397665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6234898018587336,0.6234898018587336,0.0,0.0,0.7818314824680298,0.7818314824680298,0.0,0.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,1.0,1.0,0.0,0.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4.185,4.183,0.0,0.0,3.6975957446808514,3.5190454545454544,0.0,0.0,3.9,3.44,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,True,False,True,False,False,False,False,False,True
1,2.0,0.0,2.0,2.0,0.0,1,0.0,0.0,1.3795135874860165,0.0,0.01898739021300756,0.04225621827107274,3.089513822978782,0.0,0.04164622715799386,0.07304366502241887,319.0,0.0,39.0,690.0,1494.0,0.0,300.0,896.0,7.4446116216356195,0.0,0.4997547258959264,0.29347901125079007,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.22252093395631434,0.0,-0.22252093395631434,-0.22252093395631434,0.9749279121818236,0.0,0.9749279121818236,0.9749279121818236,-0.25881904510252063,0.0,-0.25881904510252063,-0.25881904510252063,-0.9659258262890683,0.0,-0.9659258262890683,-0.9659258262890683,-1.8369701987210297e-16,0.0,-0.25881904510252063,-0.25881904510252063,-1.0,0.0,-0.9659258262890683,-0.9659258262890683,0.01,0.0,0.01,0.01,3.0,0.0,5.062,3.0,0.12074074074074075,0.0,1.1979545454545455,1.0066666666666666,0.01,0.0,0.01,0.01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False
0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0523926317827537,0.13422574776183374,0.004218011255501022,0.0,1.2386328555247832,1.6700269222231046,0.02797142760487372,0.0,563.0,10.0,10.0,0.0,633.0,300.0,240.0,0.0,7.044357472178863,20.040323066677256,0.41957141407310583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6234898018587336,0.6234898018587336,0.6234898018587336,0.0,0.7818314824680298,0.7818314824680298,0.7818314824680298,0.0,-0.25881904510252063,-0.25881904510252063,-0.25881904510252063,0.0,0.9659258262890683,0.9659258262890683,0.9659258262890683,0.0,-0.25881904510252063,-0.25881904510252063,-0.25881904510252063,0.0,0.9659258262890683,0.9659258262890683,0.9659258262890683,0.0,4.197,3.216,3.0,0.0,17.152,19.296,98.624,0.0,10.969444444444443,9.923838709677419,11.56652,0.0,8.769,8.576,3.641,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,False,False,True
